timestamp,cpu_percent,memory_mb,gpu_percent,vram_mb,inference_time
1778119256.409,0.00,545.28,0.00,450.19,2.32
1778119256.511,11.90,547.40,0.00,450.19,2.32
1778119256.612,0.00,547.42,0.00,450.19,2.32
1778119256.714,19.50,656.53,0.00,450.19,2.32
1778119256.816,28.20,659.77,0.00,450.19,2.32
1778119256.987,26.10,659.78,0.00,450.19,2.32
1778119257.090,24.40,722.23,0.00,460.19,2.32
1778119257.191,25.00,800.59,7.00,678.19,2.32
1778119257.293,7.10,662.32,7.00,706.19,2.32
1778119257.394,20.00,746.77,10.00,724.19,2.32
1778119257.496,31.70,863.52,10.00,780.19,2.32
1778119257.597,25.00,945.29,2.00,780.19,2.32
1778119257.699,22.50,1058.11,2.00,780.19,2.32
1778119257.800,2.40,1058.11,7.00,780.19,2.32
1778119257.901,0.00,1058.16,7.00,780.19,2.32
1778119258.002,0.00,1058.22,0.00,780.19,2.32
1778119258.104,0.00,1058.29,0.00,780.19,2.32
1778119258.205,0.00,1058.34,0.00,780.19,2.32
1778119258.307,2.40,1058.40,0.00,780.19,2.32
1778119258.408,2.30,1058.46,0.00,780.19,2.32
1778119258.509,0.00,1058.46,0.00,780.19,2.32
1778119258.611,4.90,1061.36,0.00,780.19,2.32
1778119258.712,2.50,1063.55,0.00,780.19,2.32
1778119258.814,0.00,1065.77,0.00,780.19,2.32
1778119258.915,0.00,1065.77,0.00,780.19,2.32
1778119259.016,19.50,1166.75,0.00,780.19,2.32
1778119259.118,26.80,1242.64,0.00,782.19,2.32
1778119259.219,24.40,1281.14,3.00,786.19,2.32
1778119259.320,25.00,1316.05,3.00,966.19,2.32
1778119259.422,26.80,1334.25,36.00,1006.19,2.32
1778119259.524,25.00,1334.25,36.00,1006.19,2.32
1778119259.625,28.60,1334.25,100.00,1006.19,2.32
